,chain,timestamp,act.addr.cnt,metric_name,value
245,BTC,1641772800000,0,act.addr.cnt,977953.0
246,BTC,1641859200000,0,act.addr.cnt,973363.0
247,BTC,1641945600000,0,act.addr.cnt,958871.0
248,BTC,1642032000000,0,act.addr.cnt,943218.0
249,BTC,1642118400000,0,act.addr.cnt,959705.0
250,BTC,1642204800000,0,act.addr.cnt,819060.0
251,BTC,1642291200000,0,act.addr.cnt,768912.0
252,BTC,1642377600000,0,act.addr.cnt,963405.0
253,BTC,1642464000000,0,act.addr.cnt,906852.0
254,ETH,1620604800000,0,act.addr.cnt,857448.0
255,ETH,1620691200000,0,act.addr.cnt,868387.0
256,ETH,1620777600000,0,act.addr.cnt,842506.0
257,ETH,1620864000000,0,act.addr.cnt,883375.0
258,ETH,1620950400000,0,act.addr.cnt,809164.0
259,ETH,1621036800000,0,act.addr.cnt,771604.0
260,ETH,1621123200000,0,act.addr.cnt,749768.0
261,ETH,1621209600000,0,act.addr.cnt,729765.0
262,ETH,1621296000000,0,act.addr.cnt,690475.0
263,ETH,1621382400000,0,act.addr.cnt,795909.0
264,ETH,1621468800000,0,act.addr.cnt,766729.0
265,ETH,1621555200000,0,act.addr.cnt,700299.0
266,ETH,1621641600000,0,act.addr.cnt,689227.0
267,ETH,1621728000000,0,act.addr.cnt,753755.0
268,ETH,1621814400000,0,act.addr.cnt,696056.0
269,ETH,1621900800000,0,act.addr.cnt,655006.0
270,ETH,1621987200000,0,act.addr.cnt,687683.0
271,ETH,1622073600000,0,act.addr.cnt,723157.0
272,ETH,1622160000000,0,act.addr.cnt,646541.0
273,ETH,1622246400000,0,act.addr.cnt,798571.0
274,ETH,1622332800000,0,act.addr.cnt,736524.0
275,ETH,1622419200000,0,act.addr.cnt,736541.0
276,ETH,1622505600000,0,act.addr.cnt,680280.0
277,ETH,1622592000000,0,act.addr.cnt,650349.0
278,ETH,1622678400000,0,act.addr.cnt,687298.0
279,ETH,1622764800000,0,act.addr.cnt,713691.0
280,ETH,1622851200000,0,act.addr.cnt,829614.0
281,ETH,1622937600000,0,act.addr.cnt,809211.0
282,ETH,1623024000000,0,act.addr.cnt,657176.0
283,ETH,1623110400000,0,act.addr.cnt,616660.0
284,ETH,1623196800000,0,act.addr.cnt,627838.0
285,ETH,1623283200000,0,act.addr.cnt,656459.0
286,ETH,1623369600000,0,act.addr.cnt,614211.0
287,ETH,1623456000000,0,act.addr.cnt,692247.0
288,ETH,1623542400000,0,act.addr.cnt,673559.0
289,ETH,1623628800000,0,act.addr.cnt,633811.0
290,ETH,1623715200000,0,act.addr.cnt,626558.0
291,ETH,1623801600000,0,act.addr.cnt,589164.0
292,ETH,1623888000000,0,act.addr.cnt,585530.0
293,ETH,1623974400000,0,act.addr.cnt,576902.0
294,ETH,1624060800000,0,act.addr.cnt,578685.0
295,ETH,1624147200000,0,act.addr.cnt,641786.0
296,ETH,1624233600000,0,act.addr.cnt,643760.0
297,ETH,1624320000000,0,act.addr.cnt,665961.0
298,ETH,1624406400000,0,act.addr.cnt,629109.0
299,ETH,1624492800000,0,act.addr.cnt,656611.0
300,ETH,1624579200000,0,act.addr.cnt,631565.0
301,ETH,1624665600000,0,act.addr.cnt,683140.0
302,ETH,1624752000000,0,act.addr.cnt,709963.0
303,ETH,1624838400000,0,act.addr.cnt,821105.0
304,ETH,1624924800000,0,act.addr.cnt,677340.0
305,ETH,1625011200000,0,act.addr.cnt,625497.0
306,ETH,1625097600000,0,act.addr.cnt,616892.0
307,ETH,1625184000000,0,act.addr.cnt,631727.0
308,ETH,1625270400000,0,act.addr.cnt,656263.0
309,ETH,1625356800000,0,act.addr.cnt,655655.0
310,ETH,1625443200000,0,act.addr.cnt,620458.0
311,ETH,1625529600000,0,act.addr.cnt,584335.0
312,ETH,1625616000000,0,act.addr.cnt,589986.0
313,ETH,1625702400000,0,act.addr.cnt,590368.0
314,ETH,1625788800000,0,act.addr.cnt,595204.0
315,ETH,1625875200000,0,act.addr.cnt,546313.0
316,ETH,1625961600000,0,act.addr.cnt,579907.0
317,ETH,1626048000000,0,act.addr.cnt,552707.0
318,ETH,1626134400000,0,act.addr.cnt,566015.0
319,ETH,1626220800000,0,act.addr.cnt,590372.0
320,ETH,1626307200000,0,act.addr.cnt,604456.0
321,ETH,1626393600000,0,act.addr.cnt,570153.0
322,ETH,1626480000000,0,act.addr.cnt,548368.0
323,ETH,1626566400000,0,act.addr.cnt,535035.0
324,ETH,1626652800000,0,act.addr.cnt,583929.0
325,ETH,1626739200000,0,act.addr.cnt,588417.0
326,ETH,1626825600000,0,act.addr.cnt,602196.0
327,ETH,1626912000000,0,act.addr.cnt,592395.0
328,ETH,1626998400000,0,act.addr.cnt,614920.0
329,ETH,1627084800000,0,act.addr.cnt,629545.0
330,ETH,1627171200000,0,act.addr.cnt,568298.0
331,ETH,1627257600000,0,act.addr.cnt,653888.0
332,ETH,1627344000000,0,act.addr.cnt,734086.0
333,ETH,1627430400000,0,act.addr.cnt,693819.0
334,ETH,1627516800000,0,act.addr.cnt,630678.0
335,ETH,1627603200000,0,act.addr.cnt,627398.0
336,ETH,1627689600000,0,act.addr.cnt,617087.0
337,ETH,1627776000000,0,act.addr.cnt,611381.0
338,ETH,1627862400000,0,act.addr.cnt,648782.0
339,ETH,1627948800000,0,act.addr.cnt,599206.0
340,ETH,1628035200000,0,act.addr.cnt,605815.0
341,ETH,1628121600000,0,act.addr.cnt,527821.0
342,ETH,1628208000000,0,act.addr.cnt,528549.0
343,ETH,1628294400000,0,act.addr.cnt,515005.0
344,ETH,1628380800000,0,act.addr.cnt,528092.0
345,ETH,1628467200000,0,act.addr.cnt,515126.0
346,ETH,1628553600000,0,act.addr.cnt,521467.0
347,ETH,1628640000000,0,act.addr.cnt,524068.0
348,ETH,1628726400000,0,act.addr.cnt,527453.0
349,ETH,1628812800000,0,act.addr.cnt,522903.0
