,chain,timestamp,metric_name,value
294,ETH,1623974400000,act.addr.cnt,576902
295,ETH,1624060800000,act.addr.cnt,578685
296,ETH,1624147200000,act.addr.cnt,641786
297,ETH,1624233600000,act.addr.cnt,643760
298,ETH,1624320000000,act.addr.cnt,665961
299,ETH,1624406400000,act.addr.cnt,629109
300,ETH,1624492800000,act.addr.cnt,656611
301,ETH,1624579200000,act.addr.cnt,631565
302,ETH,1624665600000,act.addr.cnt,683140
303,ETH,1624752000000,act.addr.cnt,709963
304,ETH,1624838400000,act.addr.cnt,821105
305,ETH,1624924800000,act.addr.cnt,677340
306,ETH,1625011200000,act.addr.cnt,625497
307,ETH,1625097600000,act.addr.cnt,616892
308,ETH,1625184000000,act.addr.cnt,631727
309,ETH,1625270400000,act.addr.cnt,656263
310,ETH,1625356800000,act.addr.cnt,655655
311,ETH,1625443200000,act.addr.cnt,620458
312,ETH,1625529600000,act.addr.cnt,584335
313,ETH,1625616000000,act.addr.cnt,589986
314,ETH,1625702400000,act.addr.cnt,590368
315,ETH,1625788800000,act.addr.cnt,595204
316,ETH,1625875200000,act.addr.cnt,546313
317,ETH,1625961600000,act.addr.cnt,579907
318,ETH,1626048000000,act.addr.cnt,552707
319,ETH,1626134400000,act.addr.cnt,566015
320,ETH,1626220800000,act.addr.cnt,590372
321,ETH,1626307200000,act.addr.cnt,604456
322,ETH,1626393600000,act.addr.cnt,570153
323,ETH,1626480000000,act.addr.cnt,548368
324,ETH,1626566400000,act.addr.cnt,535035
325,ETH,1626652800000,act.addr.cnt,583929
326,ETH,1626739200000,act.addr.cnt,588417
327,ETH,1626825600000,act.addr.cnt,602196
328,ETH,1626912000000,act.addr.cnt,592395
329,ETH,1626998400000,act.addr.cnt,614920
330,ETH,1627084800000,act.addr.cnt,629545
331,ETH,1627171200000,act.addr.cnt,568298
332,ETH,1627257600000,act.addr.cnt,653888
333,ETH,1627344000000,act.addr.cnt,734086
334,ETH,1627430400000,act.addr.cnt,693819
335,ETH,1627516800000,act.addr.cnt,630678
336,ETH,1627603200000,act.addr.cnt,627398
337,ETH,1627689600000,act.addr.cnt,617087
338,ETH,1627776000000,act.addr.cnt,611381
339,ETH,1627862400000,act.addr.cnt,648782
340,ETH,1627948800000,act.addr.cnt,599206
341,ETH,1628035200000,act.addr.cnt,605815
342,ETH,1628121600000,act.addr.cnt,527821
343,ETH,1628208000000,act.addr.cnt,528549
344,ETH,1628294400000,act.addr.cnt,515005
345,ETH,1628380800000,act.addr.cnt,528092
346,ETH,1628467200000,act.addr.cnt,515126
347,ETH,1628553600000,act.addr.cnt,521467
348,ETH,1628640000000,act.addr.cnt,524068
349,ETH,1628726400000,act.addr.cnt,527453
350,ETH,1628812800000,act.addr.cnt,522903
351,ETH,1628899200000,act.addr.cnt,500098
352,ETH,1628985600000,act.addr.cnt,490026
353,ETH,1629072000000,act.addr.cnt,542707
354,ETH,1629158400000,act.addr.cnt,530632
355,ETH,1629244800000,act.addr.cnt,513850
356,ETH,1629331200000,act.addr.cnt,563049
357,ETH,1629417600000,act.addr.cnt,562207
358,ETH,1629504000000,act.addr.cnt,529227
359,ETH,1629590400000,act.addr.cnt,512239
360,ETH,1629676800000,act.addr.cnt,538782
361,ETH,1629763200000,act.addr.cnt,521034
362,ETH,1629849600000,act.addr.cnt,499357
363,ETH,1629936000000,act.addr.cnt,498866
364,ETH,1630022400000,act.addr.cnt,484938
365,ETH,1630108800000,act.addr.cnt,507969
366,ETH,1630195200000,act.addr.cnt,492973
367,ETH,1630281600000,act.addr.cnt,518591
368,ETH,1630368000000,act.addr.cnt,552052
369,ETH,1630454400000,act.addr.cnt,557665
370,ETH,1630540800000,act.addr.cnt,567055
371,ETH,1630627200000,act.addr.cnt,512274
372,ETH,1630713600000,act.addr.cnt,520029
373,ETH,1630800000000,act.addr.cnt,497386
374,ETH,1630886400000,act.addr.cnt,526972
375,ETH,1630972800000,act.addr.cnt,558575
376,ETH,1631059200000,act.addr.cnt,525185
