,chain,total_relays,total_pokt,point,first_time,last_time
133,POKT Mainnet,112395,1000.3155,8,2021-12-08T00:07:42.391Z,0
134,Ethereum,34812154,309828.1706,8,2021-12-08T00:07:42.391Z,0
135,BSC Mainnet,200282,1782.5098,8,2021-12-08T00:07:42.391Z,0
136,IoTeX Mainnet,150912,1343.1168,8,2021-12-08T00:07:42.391Z,0
137,FUSE Mainnet,6342376,56447.1464,8,2021-12-08T00:07:42.391Z,0
138,xDAI Archival,112474,1001.0186,8,2021-12-08T00:07:42.391Z,0
139,Ethereum Ropsten,159784,1422.0776,8,2021-12-08T00:07:42.391Z,0
140,Ethereum Goerli,571849,5089.4561,8,2021-12-08T00:07:42.391Z,0
141,xDAI,908431,8085.0359,8,2021-12-08T00:07:42.391Z,0
142,Harmony Shard 0,148689714,1323338.4546,8,2021-12-08T00:07:42.391Z,0
143,ETH Archival Trace,1471567,13096.9463,8,2021-12-08T00:07:42.391Z,0
144,Avalanche Mainnet,590260,5253.314,8,2021-12-08T00:07:42.391Z,0
145,Ethereum Rinkeby,335800,2988.62,8,2021-12-08T00:07:42.391Z,0
146,Solana Mainnet,321809,2864.1001,8,2021-12-08T00:07:42.391Z,0
147,Polygon Archival,174380,1551.982,8,2021-12-08T00:07:42.391Z,0
148,Polygon Mainnet,1473475,13113.9275,8,2021-12-08T00:07:42.391Z,0
149,FUSE Archival,125576,1117.6264,8,2021-12-08T00:07:42.391Z,0
150,Ethereum Kovan,177328,1578.2192,8,2021-12-08T00:07:42.391Z,0
151,Ethereum,36243281,322565.2009,9,2021-12-09T00:04:14.962Z,0
152,POKT Mainnet,116961,1040.9529,9,2021-12-09T00:04:14.962Z,0
153,Ethereum Goerli,543676,4838.7164,9,2021-12-09T00:04:14.962Z,0
154,Avalanche Mainnet,583047,5189.1183,9,2021-12-09T00:04:14.962Z,0
155,Polygon Mainnet,1157237,10299.4093,9,2021-12-09T00:04:14.962Z,0
156,BSC Mainnet,199657,1776.9473,9,2021-12-09T00:04:14.962Z,0
157,FUSE Mainnet,6329719,56334.4991,9,2021-12-09T00:04:14.962Z,0
158,Solana Mainnet,298791,2659.2399,9,2021-12-09T00:04:14.962Z,0
159,Ethereum Kovan,125914,1120.6346,9,2021-12-09T00:04:14.962Z,0
160,Ethereum Ropsten,156633,1394.0337,9,2021-12-09T00:04:14.962Z,0
161,xDAI Archival,116029,1032.6581,9,2021-12-09T00:04:14.962Z,0
162,Harmony Shard 0,145142687,1291769.9143,9,2021-12-09T00:04:14.962Z,0
163,ETH Archival Trace,2066971,18396.0419,9,2021-12-09T00:04:14.962Z,0
164,IoTeX Mainnet,144661,1287.4829,9,2021-12-09T00:04:14.962Z,0
165,xDAI,1059227,9427.1203,9,2021-12-09T00:04:14.962Z,0
166,FUSE Archival,123276,1097.1564,9,2021-12-09T00:04:14.962Z,0
167,Ethereum Rinkeby,340561,3030.9929,9,2021-12-09T00:04:14.962Z,0
168,Polygon Archival,63161,562.1329,9,2021-12-09T00:04:14.962Z,0
169,Ethereum Archival,31,0.2759,9,2021-12-09T00:04:14.962Z,0
170,FUSE Archival,127045,1130.7005,10,2021-12-10T00:03:48.647Z,0
171,Harmony Shard 0,138528785,1232906.1865,10,2021-12-10T00:03:48.647Z,0
172,xDAI,1004956,8944.1084,10,2021-12-10T00:03:48.647Z,0
173,xDAI Archival,119842,1066.5938,10,2021-12-10T00:03:48.647Z,0
174,FUSE Mainnet,6447663,57384.2007,10,2021-12-10T00:03:48.647Z,0
175,ETH Archival Trace,3556725,31654.8525,10,2021-12-10T00:03:48.647Z,0
176,Polygon Mainnet,1514358,13477.7862,10,2021-12-10T00:03:48.647Z,0
177,Polygon Archival,78988,702.9932,10,2021-12-10T00:03:48.647Z,0
178,Ethereum Kovan,100057,890.5073,10,2021-12-10T00:03:48.647Z,0
179,Ethereum Rinkeby,344950,3070.055,10,2021-12-10T00:03:48.647Z,0
180,Ethereum Goerli,513622,4571.2358,10,2021-12-10T00:03:48.647Z,0
181,BSC Mainnet,128148,1140.5172,10,2021-12-10T00:03:48.647Z,0
182,POKT Mainnet,117490,1045.661,10,2021-12-10T00:03:48.647Z,0
183,Ethereum Ropsten,153366,1364.9574,10,2021-12-10T00:03:48.647Z,0
184,IoTeX Mainnet,137659,1225.1651,10,2021-12-10T00:03:48.647Z,0
185,Solana Mainnet,304512,2710.1568,10,2021-12-10T00:03:48.647Z,0
186,Avalanche Mainnet,630919,5615.1791,10,2021-12-10T00:03:48.647Z,0
187,Ethereum,35377669,314861.2541,10,2021-12-10T00:03:48.647Z,0
188,Ethereum Archival,25,0.2225,10,2021-12-10T00:03:48.647Z,0
189,Avalanche Mainnet,567130,5047.457,11,2021-12-11T00:13:43.017Z,0
190,POKT Mainnet,116076,1033.0764,11,2021-12-11T00:13:43.017Z,0
191,Polygon Mainnet,1738105,15469.1345,11,2021-12-11T00:13:43.017Z,0
192,FUSE Archival,117833,1048.7137,11,2021-12-11T00:13:43.017Z,0
193,Ethereum,30287829,269561.6781,11,2021-12-11T00:13:43.017Z,0
194,Ethereum Ropsten,164384,1463.0176,11,2021-12-11T00:13:43.017Z,0
195,BSC Mainnet,141573,1259.9997,11,2021-12-11T00:13:43.017Z,0
196,xDAI,776338,6909.4082,11,2021-12-11T00:13:43.017Z,0
197,Ethereum Goerli,491335,4372.8815,11,2021-12-11T00:13:43.017Z,0
198,xDAI Archival,159788,1422.1132,11,2021-12-11T00:13:43.017Z,0
199,FUSE Mainnet,6577587,58540.5243,11,2021-12-11T00:13:43.017Z,0
200,ETH Archival Trace,1340477,11930.2453,11,2021-12-11T00:13:43.017Z,0
201,IoTeX Mainnet,137833,1226.7137,11,2021-12-11T00:13:43.017Z,0
202,Ethereum Kovan,105972,943.1508,11,2021-12-11T00:13:43.017Z,0
203,Harmony Shard 0,125721811,1118924.1179,11,2021-12-11T00:13:43.017Z,0
204,Ethereum Rinkeby,330578,2942.1442,11,2021-12-11T00:13:43.017Z,0
205,Solana Mainnet,296961,2642.9528999999998,11,2021-12-11T00:13:43.017Z,0
206,Polygon Archival,92993,827.6377,11,2021-12-11T00:13:43.017Z,0
207,Ethereum Archival,31,0.2759,11,2021-12-11T00:13:43.017Z,0
208,Polygon Mainnet,2004865,17843.2985,12,2021-12-12T00:02:04.743Z,0
209,ETH Archival Trace,2778323,24727.0747,12,2021-12-12T00:02:04.743Z,0
210,Harmony Shard 0,124150311,1104937.7679,12,2021-12-12T00:02:04.743Z,0
211,Polygon Archival,117548,1046.1772,12,2021-12-12T00:02:04.743Z,0
212,Ethereum Archival,3459,30.7851,12,2021-12-12T00:02:04.743Z,0
213,Ethereum Goerli,506203,4505.2067,12,2021-12-12T00:02:04.743Z,0
